# ----------------------------------------
# Sayfalar ve ekranlar: Sayfa yolu ve ekran sınıfı
# Hesap: DSG Servisi
# Mülk: dsgservisi.com
# ----------------------------------------
# 
# Tüm Kullanıcılar
# Başlangıç tarihi: 20251009
# Bitiş tarihi: 20260106
Sayfa yolu ve ekran sınıfı,Görüntüleme Sayısı,Etkin kullanıcı sayısı,Etkin kullanıcı başına görüntüleme sayısı,Etkin kullanıcı başına ortalama etkileşim süresi,Etkinlik sayısı,Önemli faaliyetler,Toplam gelir
/,1766,1187,1.4877843302443134,17.807076663858467,5604,0,0
/iletisim,338,220,1.5363636363636364,26.868181818181817,709,0,0
/blog,261,24,10.875,260.0833333333333,554,0,0
/dsg-volant-degisimi/,178,145,1.2275862068965517,60.51724137931034,636,0,0
/hizmetlerimiz,162,79,2.050632911392405,36.40506329113924,348,0,0
/dsg-sanziman-fiyati/,134,125,1.072,22.576,493,0,0
/1-4-tsi-dsg-kavrama-fiyati,120,106,1.1320754716981132,43.339622641509436,421,0,0
/audi-periyodik-bakim-fiyatlari-2025/,118,107,1.102803738317757,34.05607476635514,432,0,0
/blog/dsg-geri-kacirma/,107,90,1.1888888888888889,42.977777777777774,366,0,0
/blog/dsg-sanziman-fiyati/,107,94,1.1382978723404256,36.212765957446805,381,0,0
/dsg-anahtar-isareti,106,83,1.2771084337349397,54.51807228915663,331,0,0
/blog/araclarda-selenoid-valf-ariza-belirtileri/,105,95,1.105263157894737,66.05263157894737,381,0,0
/blog/dsg-p-yanip-sonuyor-araba-calismiyor/,96,76,1.263157894736842,61.19736842105263,321,0,0
/dsg-kavrama-degisimi/,96,77,1.2467532467532467,42.58441558441559,322,0,0
/hakkimizda,91,38,2.3947368421052633,26.210526315789473,167,0,0
/blog/dsg-mekatronik-arizasi-belirtileri/,82,69,1.1884057971014492,94.6086956521739,278,0,0
/volkswagen-periyodik-bakim-fiyatlari-2025/,76,68,1.1176470588235294,30.147058823529413,275,0,0
/blog/en-iyi-otomatik-sanziman-yagi-hangisi/,75,69,1.0869565217391304,76.05797101449275,277,0,0
